Methods used,R2_score,MSE,RMSE,MAE,MAPE
LinearRegression,0.7157290979193367,20.846660691972758,4.565814351457225,2.935607565531254,0.15336756378086785
Ridge,0.7157382463637326,20.845989801935175,4.565740882040414,2.9350305043914036,0.15333960920185938
Lasso,0.7163829613360448,20.79871041395542,4.560560317982366,2.8838243208076046,0.15009321332108339
ElasticNet,0.7149260563258917,20.905550770055186,4.572258825794444,2.8279849439359306,0.14754734963295793
DecisionTreeRegressor,0.6454740997971229,25.998725490196083,5.098894536092709,3.108823529411764,0.17634379894776273
RandomForestRegressor,0.8554401772386109,10.60111869607843,3.255935917071838,2.21485294117647,0.12429862592491321
XGBRegressor,0.8757155948587227,9.114245616840158,3.018980890439712,2.0315556713179044,0.12098076532253142
KNeighborsRegressor,0.7453086211015691,18.67748235294118,4.321745290150864,2.4549019607843134,0.12607384139512462
SVR,0.7070133126925948,21.4858221958626,4.635280163686182,2.5257641810024993,0.13253764640464302
VotingRegressor,0.8226713467218554,13.004181007611546,3.60613103028877,2.217912587005089,0.11533474346675117
